"","id","adj.P.Val.XBirA.over.No_BirA","AveExpr.XBirA.over.No_BirA","Log.P.Value.XBirA.over.No_BirA","logFC.XBirA.over.No_BirA","P.Value.XBirA.over.No_BirA","t.XBirA.over.No_BirA","Proteome..126.126.127.128.129.130.131..No_BirA50.multimedian","Proteome..127.126.127.128.129.130.131..No_BirA51.multimedian","Proteome..131.126.127.128.129.130.131..No_BirA52.multimedian","Proteome..128.126.127.128.129.130.131..XBirA_48.multimedian","Proteome..129.126.127.128.129.130.131..XBirA_49.multimedian","Proteome..130.126.127.128.129.130.131..XBirA_47.multimedian","id.query","id.mapped","id.concat","id.1","geneSymbol","numColumnsProteinObserved","numSpectraProteinObserved","numPepsUnique","numPepsUniqueSubgroupSpecificCI","accession_numbers","species","protein_mw","percentCoverage","groupNum","subgroupNum","scoreUnique","scoreUniqueSubgroupSpecificCI","orfCategory","sequenceLength","entry_name","cellular_component","biological_process","molecular_function","Proteome.unique_peptides","Proteome.numSpectra","Proteome.totalIntensity","Proteome.pct_cov"
"3299","P49070",1.93683e-06,-0.649333333,82.12094699,2.989,6.13628e-09,36.59765566,-2.1015,-2.104,-2.226,0.767,0.992,0.7765,"P49070","Caml","P49070_Caml","P49070","Camlg",1,5,2,2,"P49070","MOUSE",32826.8,6.1,3091,3091.1,16.84,16.84,NA,294,"Calcium signal-modulating cyclophilin ligand","endoplasmic reticulum|membrane|integral component of membrane|","receptor recycling|epidermal growth factor receptor signaling pathway|","protein binding|",2,5,9.03e+09,"6.1%"
"3330","Q62179",0.000272902,-0.704666667,43.30786526,2.983,4.66889e-05,9.342615539,-1.6985,-1.893,-2.997,0.707,0.832,0.8215,"Q62179","Sema4b","Q62179_Sema4b","Q62179","Sema4b",1,3,2,2,"Q62179","MOUSE",92702.9,2.6,3142,3142.1,15.97,15.97,NA,823,"Semaphorin-4B","plasma membrane|membrane|integral component of membrane|synapse|","nervous system development|cell differentiation|","protein binding|",2,3,5.07e+09,"2.6%"
"164","Q6ZQM8",2.18797e-06,-0.515833333,78.02931237,2.979333333,1.57423e-08,32.11588279,-1.9845,-1.969,-2.063,0.786,1.111,1.0245,"Q6ZQM8","Ugt1a7c","Q6ZQM8_Ugt1a7c","Q6ZQM8","Ugt1a7c",1,359,33,16,"Q6ZQM8|D3Z748|D3YZE6|D6RH94","MOUSE",60498.4,71.7,119,119.1,532.87,286,NA,531,"UDP-glucuronosyltransferase 1-7C","endoplasmic reticulum membrane|integral component of membrane|intracellular membrane-bounded organelle|","flavonoid biosynthetic process|cellular response to hormone stimulus|flavonoid glucuronidation|xenobiotic glucuronidation|","glucuronosyltransferase activity|",33,359,1.73e+13,"71.7%"
"1494","Q64444",1.38496e-05,-0.5375,59.59122412,2.964666667,1.0987e-06,16.80931275,-1.8645,-1.814,-2.381,0.905,0.757,1.1725,"Q64444","Car4","Q64444_Car4","Q64444","Ca4",1,28,9,9,"Q64444","MOUSE",34693.2,23.2,1260,1260.1,102.67,102.67,NA,305,"Carbonic anhydrase 4","rough endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|trans-Golgi network|plasma membrane|cell surface|membrane|apical plasma membrane|sarcoplasmic reticulum|transport vesicle membrane|secretory granule membrane|anchored component of external side of plasma membrane|brush border membrane|sarcolemma|anchored component of plasma membrane|perinuclear region of cytoplasm|extracellular exosome|","one-carbon metabolic process|regulation of pH|carbon dioxide transport|bicarbonate transport|response to drug|organ development|response to steroid hormone|","carbonate dehydratase activity|protein binding|zinc ion binding|",9,28,9.35e+09,"23.2%"
"1037","Q8CIF4",9.23297e-06,-0.613166667,62.61618933,2.961333333,5.47496e-07,18.70682609,-1.8375,-1.984,-2.46,0.951,0.786,0.8655,"Q8CIF4","Btd","Q8CIF4_Btd","Q8CIF4","Btd",1,34,10,10,"A0A0R4J131|Q8CIF4","MOUSE",58952,27.8,850,850.1,158.47,158.47,NA,520,"Biotinidase","extracellular space|nucleolus|perikaryon|apical part of cell|extracellular exosome|","biotin metabolic process|","biotinidase activity|",10,34,4.54e+10,"27.8%"
"2467","Q9D1M7",5.6111e-06,-0.616166667,66.84321376,2.958666667,2.06861e-07,21.7091286,-1.9215,-1.962,-2.403,0.966,0.777,0.8465,"Q9D1M7","Fkbp11","Q9D1M7_Fkbp11","Q9D1M7","Fkbp11",1,11,2,2,"Q9D1M7","MOUSE",22307.9,17.9,2194,2194.1,39.08,39.08,NA,201,"Peptidyl-prolyl cis-trans isomerase FKBP11","cytoplasm|endoplasmic reticulum membrane|membrane|integral component of membrane|","protein peptidyl-prolyl isomerization|chaperone-mediated protein folding|","peptidyl-prolyl cis-trans isomerase activity|FK506 binding|",2,11,4.81e+09,"17.9%"
"732","Q80UU9",2.18797e-06,-0.586666667,78.16627241,2.945666667,1.52536e-08,32.26979009,-1.9355,-2.042,-2.201,0.914,0.767,0.9775,"Q80UU9","Pgrmc2","Q80UU9_Pgrmc2","Q80UU9","Pgrmc2",1,51,15,13,"Q80UU9","MOUSE",23447.8,47.4,573,573.1,215.1,190.36,NA,217,"Membrane-associated progesterone receptor component 2","endomembrane system|membrane|integral component of membrane|","","steroid binding|heme binding|",15,51,2.16e+11,"47.4%"
"88","P55302",4.75646e-06,-0.439333333,68.37989922,2.939666667,1.45215e-07,22.91289841,-1.7875,-1.918,-2.022,1.243,0.775,1.0735,"P55302","Lrpap1","P55302_Lrpap1","P55302","Lrpap1",1,319,51,51,"P55302","MOUSE",42214.3,73.6,64,64.1,677.13,677.13,NA,360,"Alpha-2-macroglobulin receptor-associated protein","extracellular region|endoplasmic reticulum|plasma membrane|cell surface|vesicle|rough endoplasmic reticulum lumen|","negative regulation of very-low-density lipoprotein particle clearance|negative regulation of protein binding|extracellular negative regulation of signal transduction|negative regulation of beta-amyloid clearance|","heparin binding|lipase binding|receptor antagonist activity|low-density lipoprotein particle receptor binding|very-low-density lipoprotein particle receptor binding|",51,319,3.99e+12,"73.6%"
"717","Q8R1V4",2.36007e-06,-0.512166667,76.6213469,2.931333333,2.17703e-08,30.57516434,-1.8835,-2.034,-2.016,1.073,0.766,1.0215,"Q8R1V4","Tmed4","Q8R1V4_Tmed4","Q8R1V4","Tmed4",1,53,10,9,"Q8R1V4","MOUSE",26249.7,44.9,560,560.2,152.26,132.8,NA,227,"Transmembrane emp24 domain-containing protein 4","endoplasmic reticulum membrane|integral component of membrane|extracellular exosome|","signal transduction|protein transport|positive regulation of I-kappaB kinase/NF-kappaB signaling|","signal transducer activity|",9,53,2.48e+11,"37.4%"
"1305","Q9R0Q3",1.31561e-06,-0.566666667,87.15005939,2.921666667,1.9275e-09,43.12033805,-2.0865,-2.06,-1.936,0.856,0.856,0.9705,"Q9R0Q3","Tmed2","Q9R0Q3_Tmed2","Q9R0Q3","Tmed2",1,43,9,9,"Q9R0Q3","MOUSE",22818.8,43.2,1079,1079.1,124.2,124.2,NA,201,"Transmembrane emp24 domain-containing protein 2","endoplasmic reticulum|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|integral component of membrane|COPI-coated vesicle|COPI-coated vesicle membrane|Golgi cisterna membrane|endoplasmic reticulum-Golgi intermediate compartment membrane|zymogen granule membrane|","maternal placenta development|Golgi organization|vesicle-mediated transport|negative regulation of GTPase activity|embryonic morphogenesis|labyrinthine layer blood vessel development|protein targeting to plasma membrane|","",9,43,1.61e+10,"43.2%"
"2062","Q8BPB5",0.000185994,-0.384833333,45.19032252,2.918,3.02669e-05,10.01414976,-1.2315,-1.959,-2.341,1.163,0.735,1.3245,"Q8BPB5","Efemp1","Q8BPB5_Efemp1","Q8BPB5","Efemp1",1,14,6,6,"Q8BPB5","MOUSE",57234.1,13.7,1796,1796.1,59.83,59.83,NA,493,"EGF-containing fibulin-like extracellular matrix protein 1","proteinaceous extracellular matrix|extracellular space|extracellular exosome|extracellular matrix|","regulation of transcription, DNA-templated|epidermal growth factor receptor signaling pathway|peptidyl-tyrosine phosphorylation|negative regulation of chondrocyte differentiation|","epidermal growth factor-activated receptor activity|epidermal growth factor receptor binding|calcium ion binding|growth factor activity|",6,14,4.53e+08,"13.7%"
"3073","P70313",0.000388467,-0.366166667,41.43014571,2.911333333,7.19425e-05,8.712386442,-1.5845,-1.451,-2.43,0.677,1.662,0.9295,"P70313","Nos3","P70313_Nos3","P70313","Nos3",1,4,2,2,"P70313|E9Q9X4","MOUSE",134568.4,2.4,2807,2807.1,22.05,22.05,NA,1202,"Nitric oxide synthase, endothelial","nucleus|cytoplasm|Golgi apparatus|cytosol|cytoskeleton|caveola|","angiogenesis|ovulation from ovarian follicle|in utero embryonic development|blood vessel remodeling|regulation of sodium ion transport|regulation of the force of heart contraction by chemical signal|regulation of systemic arterial blood pressure by endothelin|arginine catabolic process|nitric oxide biosynthetic process|nitric oxide mediated signal transduction|negative regulation of cell proliferation|negative regulation of muscle hyperplasia|smooth muscle hyperplasia|lung development|positive regulation of guanylate cyclase activity|lipopolysaccharide-mediated signaling pathway|response to fluid shear stress|negative regulation of potassium ion transport|endothelial cell migration|positive regulation of angiogenesis|negative regulation of blood pressure|positive regulation of vasodilation|regulation of blood vessel size|negative regulation of hydrolase activity|negative regulation of calcium ion transport|oxidation-reduction process|","actin monomer binding|NADPH-hemoprotein reductase activity|nitric-oxide synthase activity|iron ion binding|calmodulin binding|FMN binding|heme binding|tetrahydrobiopterin binding|arginine binding|flavin adenine dinucleotide binding|NADP binding|scaffold protein binding|",2,4,7.99e+08,"2.4%"
"524","O35887",3.66757e-06,-0.501666667,70.89710752,2.911,8.13372e-08,25.02728677,-1.7825,-1.988,-2.101,1.037,0.757,1.0675,"O35887","Calu","O35887_Calu","O35887","Calu",1,53,18,5,"O35887|G3V004|G3UWR0|G3UWV3","MOUSE",37177.2,60.6,397,397.1,269.66,66.24,NA,315,"Calumenin","extracellular region|endoplasmic reticulum|endoplasmic reticulum lumen|membrane|sarcoplasmic reticulum lumen|melanosome|","peripheral nervous system axon regeneration|response to organic cyclic compound|negative regulation of catalytic activity|","enzyme inhibitor activity|calcium ion binding|enzyme binding|",18,53,1.2e+11,"60.6%"
"2595","Q9EQU5",6.44011e-06,-0.666166667,65.09544869,2.894,3.09354e-07,20.41490542,-1.8655,-2.048,-2.426,0.867,0.765,0.7105,"Q9EQU5","Set","Q9EQU5_Set","Q9EQU5","Set",1,4,4,4,"Q9EQU5|Q9EQU5-2|Q9EQU5-3","MOUSE",33377.2,15.9,2324,2324.1,34.48,34.48,NA,289,"Protein SET","nucleus|nucleoplasm|cytoplasm|endoplasmic reticulum|cytosol|protein complex|perinuclear region of cytoplasm|","nucleosome assembly|negative regulation of neuron apoptotic process|endothelial cell differentiation|negative regulation of transcription, DNA-templated|positive regulation of transcription from RNA polymerase II promoter|","DNA binding|chromatin binding|",4,4,1.03e+09,"15.9%"
"1243","Q61207",0.000106306,-0.262833333,48.09014178,2.862,1.55234e-05,11.13315142,-1.5505,-1.378,-2.153,1.428,0.721,1.3555,"Q61207","Psap","Q61207_Psap","Q61207","Psap",1,18,9,9,"Q61207|J3QPG5|K3W4L3|Q8BFQ1|E9PZ00","MOUSE",63303.9,22.4,1021,1021.1,131.65,131.65,NA,557,"Prosaposin","extracellular space|nucleoplasm|nucleolus|mitochondrion|lysosome|Golgi apparatus|intracellular membrane-bounded organelle|extracellular exosome|","sphingolipid metabolic process|adenylate cyclase-inhibiting G-protein coupled receptor signaling pathway|regulation of lipid metabolic process|regulation of MAPK cascade|positive regulation of MAPK cascade|developmental growth|prostate gland growth|epithelial cell differentiation involved in prostate gland development|cellular response to organic substance|negative regulation of hydrogen peroxide-induced cell death|","G-protein coupled receptor binding|",9,18,7.81e+09,"22.4%"
"3143","Q7TT36",3.78012e-05,-0.597666667,53.43981182,2.857666667,4.52917e-06,13.50246014,-1.6835,-1.864,-2.532,0.779,0.762,0.9525,"Q7TT36","Adgra3","Q7TT36_Adgra3","Q7TT36","Adgra3",1,4,2,2,"Q7TT36","MOUSE",146805.8,2,2882,2882.1,20.66,20.66,NA,1310,"Adhesion G protein-coupled receptor A3","external side of plasma membrane|integral component of membrane|","G-protein coupled receptor signaling pathway|","G-protein coupled receptor activity|",2,4,43600000,"2.0%"
"26","Q9JKR6",4.01934e-06,-0.409333333,69.97281776,2.849666667,1.00628e-07,24.22958354,-1.7715,-1.876,-1.855,1.193,0.753,1.1005,"Q9JKR6","Hyou1","Q9JKR6_Hyou1","Q9JKR6","Hyou1",1,553,77,77,"Q9JKR6|E0CYZ2","MOUSE",111407.3,64.2,16,16.1,1226.46,1226.46,NA,999,"Hypoxia up-regulated protein 1","extracellular region|endoplasmic reticulum lumen|focal adhesion|membrane|endoplasmic reticulum chaperone complex|extracellular exosome|","response to ischemia|response to endoplasmic reticulum stress|negative regulation of apoptotic process|cellular response to hypoxia|negative regulation of hypoxia-induced intrinsic apoptotic signaling pathway|negative regulation of endoplasmic reticulum stress-induced neuron intrinsic apoptotic signaling pathway|","ATP binding|",77,553,3.62e+12,"64.2%"
"3032","Q8BZT5",0.000301891,-0.548833333,42.75399559,2.846666667,5.30396e-05,9.152728112,-1.5305,-1.644,-2.742,0.968,0.705,0.9505,"Q8BZT5","Lrrc19","Q8BZT5_Lrrc19","Q8BZT5","Lrrc19",1,3,2,2,"Q8BZT5","MOUSE",42028.8,5.2,2764,2764.1,22.97,22.97,NA,364,"Leucine-rich repeat-containing protein 19","integral component of membrane|","","",2,3,1.11e+09,"5.2%"
"2234","Q8VD31",2.3915e-06,-0.586166667,75.41668728,2.824666667,2.87297e-08,29.31503534,-1.9195,-1.904,-2.172,0.826,0.934,0.7185,"Q8VD31","Tapbpl","Q8VD31_Tapbpl","Q8VD31","Tapbpl",1,6,4,4,"Q8VD31","MOUSE",49188.1,7.7,1964,1964.1,49.77,49.77,NA,451,"Tapasin-related protein","Golgi membrane|endoplasmic reticulum membrane|plasma membrane|integral component of membrane|","immune system process|negative regulation of antigen processing and presentation of peptide antigen via MHC class I|","protein complex binding|",4,6,2.26e+09,"7.7%"
"80","Q02819",2.5176e-06,-0.458166667,74.12446139,2.818,3.8686e-08,28.02023541,-1.8275,-1.797,-1.977,1.067,0.755,1.0305,"Q02819","Nucb1","Q02819_Nucb1","Q02819","Nucb1",1,270,46,46,"Q02819|A0A1C7CYU3","MOUSE",53407.7,74.5,57,57.1,688.63,688.63,NA,459,"Nucleobindin-1","extracellular space|nucleus|early endosome|rough endoplasmic reticulum|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|Golgi-associated vesicle|cis-Golgi network|trans-Golgi network|microtubule cytoskeleton|membrane|Golgi cisterna membrane|extracellular exosome|extrinsic component of Golgi membrane|lumenal side of Golgi membrane|","response to cisplatin|regulation of protein targeting|","G-protein alpha-subunit binding|DNA binding|calcium ion binding|",46,270,1.56e+12,"74.5%"
"2711","Q9DAU7",1.25894e-05,-0.539,60.33758282,2.810333333,9.25213e-07,17.25948811,-1.7555,-1.803,-2.274,0.762,0.746,1.0905,"Q9DAU7","Wfdc2","Q9DAU7_Wfdc2","Q9DAU7","Wfdc2",1,5,4,4,"Q9DAU7|A2A5G5|A2A5G4","MOUSE",19058.3,27,2440,2440.1,31.24,31.24,NA,174,"WAP four-disulfide core domain protein 2","extracellular exosome|","negative regulation of endopeptidase activity|","serine-type endopeptidase inhibitor activity|cysteine-type endopeptidase inhibitor activity|aspartic-type endopeptidase inhibitor activity|",4,5,1.19e+08,"27.0%"
"180","Q9D0F3",2.18797e-06,-0.522666667,77.99979241,2.804333333,1.58497e-08,32.08280527,-1.7805,-1.942,-2.052,0.854,0.809,0.9755,"Q9D0F3","Lman1","Q9D0F3_Lman1","Q9D0F3","Lman1",1,192,35,35,"Q9D0F3","MOUSE",58073,53.3,130,130.1,509.29,509.29,NA,517,"Protein ERGIC-53","Golgi membrane|endoplasmic reticulum membrane|endoplasmic reticulum-Golgi intermediate compartment|Golgi apparatus|membrane|integral component of membrane|sarcomere|ER to Golgi transport vesicle|endoplasmic reticulum-Golgi intermediate compartment membrane|host cell perinuclear region of cytoplasm|extracellular exosome|","ER to Golgi vesicle-mediated transport|endoplasmic reticulum organization|Golgi organization|positive regulation of organelle organization|protein transport|","carbohydrate binding|metal ion binding|",35,192,1.11e+12,"53.3%"
"2560","Q9JJY4",1.83916e-05,-0.429,57.69456039,2.799,1.70037e-06,15.71538376,-1.7005,-2.115,-1.67,0.663,1.239,1.0095,"Q9JJY4","Ddx20","Q9JJY4_Ddx20","Q9JJY4","Ddx20",1,8,4,4,"Q9JJY4|A0A0G2JE88","MOUSE",92621.5,5.3,2289,2289.1,35.75,35.75,NA,825,"Probable ATP-dependent RNA helicase DDX20","nucleus|cytoplasm|cytosol|membrane|transcriptional repressor complex|SMN complex|SMN-Sm protein complex|RNA polymerase II transcription repressor complex|Gemini of coiled bodies|","negative regulation of transcription from RNA polymerase II promoter|spliceosomal snRNP assembly|RNA secondary structure unwinding|positive regulation of apoptotic process|oogenesis|regulation of steroid biosynthetic process|","DNA binding|ATP-dependent RNA helicase activity|protein binding|ATP binding|protein domain specific binding|protein binding, bridging|histone deacetylase binding|repressing transcription factor binding|",4,8,4.36e+09,"5.3%"
"3464","Q9JJN5",0.004394839,-0.503166667,29.29621067,2.793333333,0.001175923,5.422178748,-0.9905,-1.554,-3.155,1.01,0.642,1.0285,"Q9JJN5","Cpn1","Q9JJN5_Cpn1","Q9JJN5","Cpn1",1,2,2,2,"Q9JJN5","MOUSE",52129.7,4.3,3470,3470.1,12.38,12.38,NA,457,"Carboxypeptidase N catalytic chain","extracellular space|","proteolysis|bradykinin catabolic process|response to glucocorticoid|","carboxypeptidase activity|metallocarboxypeptidase activity|zinc ion binding|",2,2,25600000,"4.3%"
"1213","Q9WUU7",3.66757e-06,-0.511666667,70.91259303,2.793,8.10477e-08,25.04086853,-1.7115,-1.949,-2.064,0.988,0.735,0.9315,"Q9WUU7","Ctsz","Q9WUU7_Ctsz","Q9WUU7","Ctsz",1,41,10,10,"Q9WUU7","MOUSE",34680.3,46.7,996,996.1,135.61,135.61,NA,306,"Cathepsin Z","extracellular space|lysosome|endoplasmic reticulum|intracellular membrane-bounded organelle|extracellular exosome|","proteolysis involved in cellular protein catabolic process|epithelial tube branching involved in lung morphogenesis|","cysteine-type endopeptidase activity|",10,41,5.03e+10,"46.7%"
"1092","Q99P87",1.58103e-05,-0.283333333,58.66147812,2.791,1.36098e-06,16.26426648,-1.6185,-1.529,-1.889,1.271,0.749,1.3165,"Q99P87","Retn","Q99P87_Retn","Q99P87","Retn",1,64,8,8,"Q99P87","MOUSE",13119,55.2,896,896.1,149.47,149.47,NA,114,"Resistin","extracellular region|extracellular space|extracellular exosome|","","hormone activity|",8,64,4.49e+11,"55.2%"
"386","P09242",1.92038e-05,-0.398666667,57.34072714,2.790333333,1.84471e-06,15.51898066,-1.5815,-1.653,-2.147,1.186,0.737,1.0665,"P09242","Alpl","P09242_Alpl","P09242","Alpl",1,83,20,20,"P09242","MOUSE",57855.5,41.2,293,293.1,323.21,323.21,NA,524,"Alkaline phosphatase, tissue-nonspecific isozyme","proteinaceous extracellular matrix|extracellular space|plasma membrane|membrane|anchored component of membrane|extracellular membrane-bounded organelle|extracellular exosome|","osteoblast differentiation|endochondral ossification|developmental process involved in reproduction|dephosphorylation|response to lipopolysaccharide|response to vitamin D|response to antibiotic|response to glucocorticoid|cellular response to organic cyclic compound|cementum mineralization|","alkaline phosphatase activity|protein binding|pyrophosphatase activity|metal ion binding|",20,83,1.18e+11,"41.2%"
